pair,signal,direction,horizon_m,n_signals,mean_ret,median_ret,win_rate,net_fees,avg_corr
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt50,long_EIGE,30,7705,10.550912041294296,7.333368486630576,54.574951330305,-29.449087958705704,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt50,short_EIGE,60,7770,10.564112560529727,11.866242089629822,55.35392535392535,-29.43588743947027,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt50,long_EIGE,60,7705,9.6036448747821,4.407308631724227,51.94029850746269,-30.3963551252179,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt50,short_EIGE,240,7768,17.08350415340134,21.76483118267236,55.03347064881565,-22.91649584659866,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt50,long_EIGE,240,7700,6.957208523120192,-1.2733813837884114,49.701298701298704,-33.042791476879806,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt100,short_EIGE,15,966,49.77139438182625,19.635621804021667,58.488612836438925,9.771394381826248,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt100,long_EIGE,15,754,33.87263063839976,18.66622114026329,59.94694960212201,-6.127369361600238,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt100,short_EIGE,30,966,58.116508371253055,30.307203485446806,58.69565217391305,18.116508371253055,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt100,long_EIGE,30,754,40.57468658057627,27.23435753647918,60.07957559681698,0.5746865805762695,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt100,short_EIGE,60,966,50.66276194807952,23.18664690036998,56.31469979296067,10.66276194807952,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt100,long_EIGE,60,754,40.614216962386614,20.86835974598023,57.161803713527846,0.6142169623866138,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt100,short_EIGE,240,966,37.99097950091783,23.036286926904623,54.554865424430645,-2.009020499082169,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt100,long_EIGE,240,754,84.28976804180095,34.71800707902261,56.49867374005305,44.289768041800954,0.7794260835245135
