signal,direction,horizon_m,n_symbols,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
ifr_revert_z2.0_w240,short,15,147,727115,1.5354681415440314,2.7285841296653417,51.210159444967594,0.016338799259314227,-18.464531858455967
ifr_revert_z2.5_w240,long,5,147,976867,1.3625992740140491,0.66945470380066,49.354573336617904,0.00948128956273473,-18.63740072598595
ifr_revert_z3.0_w240,short,240,147,186798,1.2589476825295027,16.97349001242405,52.52040002220112,0.023908934181259663,-18.741052317470498
ifr_level_gt5.0_fade,short_contrarian,30,147,1870614,1.2383697073892952,5.013483501350665,51.89226131424669,0.023965803522154706,-18.761630292610704
ifr_revert_z2.0_w240,long,5,147,1892438,1.2164348466129238,0.5825694243422392,49.258348729919504,0.010680083431782235,-18.783565153387077
ifr_revert_z3.0_w60,long,5,147,468143,1.1051608396303394,0.42936670984084463,48.97657201239206,0.005563874588799375,-18.89483916036966
ifr_revert_z2.5_w60,long,5,147,884942,1.066756591654697,0.43258612527530876,49.014973350125416,0.007685126539747815,-18.9332434083453
ifr_revert_z2.0_w60,long,5,147,1774347,1.0515369547162676,0.4492814556849944,48.942484557080846,0.009445048762668672,-18.948463045283734
ifr_revert_z3.0_w60,short,30,147,187749,1.048169535515223,3.659055835887387,51.20716120438079,0.014226780099952187,-18.951830464484775
ifr_revert_z2.5_w240,short,5,147,335833,1.021756630506705,1.2732986660342498,49.970562197179234,0.015219355888299,-18.978243369493295
fr_diverge_z2.0,short,5,145,276644,1.020213211476223,2.300524118669652,50.05217458429791,0.002322597098966033,-18.979786788523775
ifr_mom15_gt5.0,long,60,147,5293173,1.0086892119322692,-3.657947951871819,48.15948146516711,0.0059072763382966905,-18.99131078806773
ifr_mom15_gt2.0,long,240,147,11493082,0.9889052655635824,-9.33662359680865,47.991654652274384,-0.0034644362617781334,-19.01109473443642
ifr_revert_z2.0_w240,short,5,147,727115,0.9882760797935789,1.0883984345168154,49.82364665593543,0.013825792761622744,-19.01172392020642
ifr_revert_z2.5_w60,short,15,147,339939,0.9076957845281933,2.4694198965050833,51.0177921153396,0.009664139574574623,-19.092304215471806
ifr_revert_z2.0_w60,short,5,147,748224,0.8966763489210655,0.9914990025897753,49.766799844043696,0.012136321071480717,-19.103323651078934
ifr_revert_z2.5_w240,short,15,147,335833,0.8429241244026267,2.9612408963252177,51.37499015385332,0.014742805754325265,-19.15707587559737
ifr_revert_z3.0_w240,short,60,147,186798,0.7658865689992002,7.343430710738559,52.34460909797202,0.01610090195686882,-19.2341134310008
ifr_revert_z3.0_w240,short,5,147,186798,0.6990343530685227,1.2729613008638847,50.04917866635382,0.011815435699263703,-19.300965646931477
ifr_revert_z2.5_w60,short,5,147,339939,0.6877476124071343,0.9830539974444386,49.66773241926711,0.008747034761688066,-19.312252387592864
ifr_mom60_gt2.0,long,240,147,12063460,0.6269473110542989,-9.669173201165727,47.88749780992351,-0.004264342448688089,-19.3730526889457
ifr_mom15_gt1.0,long,240,147,14778187,0.4638266079726809,-9.304672686677646,47.96356794962929,-0.005226034401393421,-19.53617339202732
ifr_level_gt5.0_fade,short_contrarian,5,147,1870614,0.3426411168337938,1.1058814229064364,49.8209363603915,0.011690025836051164,-19.657358883166207
ifr_mom15_gt5.0,long,30,147,5293173,0.3380209814101016,-2.3596899839818373,48.04440188120669,0.003291904406095317,-19.661979018589896
ifr_revert_z3.0_w60,short,5,147,187749,0.29764570371221516,1.2495161947364182,49.72987709183282,0.0052691678461201175,-19.702354296287787
ifr_level_gt5.0_fade,short_contrarian,15,147,1870614,0.2505896108135559,2.3440026357592267,50.832216982902956,0.014178242423390292,-19.749410389186444
ifr_mom60_gt1.0,long,240,147,15257863,0.19669551365102705,-9.569303879641458,47.88488227384203,-0.0058038150864853566,-19.803304486348974
ifr_mom15_gt5.0,long,15,147,5293173,0.12353208601013,-1.7092272945919602,47.534919102165425,0.0015740356159115374,-19.87646791398987
ifr_revert_z3.0_w60,short,15,147,187749,-0.05209658339093134,2.5610670513653164,50.85580658305518,0.004483915482106924,-20.05209658339093
fr_diverge_z3.0,short,30,144,109245,-0.11901757738079567,23.085934857680186,51.478689897410135,-0.0014540253231556854,-20.119017577380795
ifr_mom15_gt5.0,long,5,147,5293173,-0.14565938478165694,-0.4497021680406846,47.111148604424805,-0.0022546171405799947,-20.145659384781656
ifr_mom60_gt5.0,long,5,147,5766033,-0.2148130133255979,-0.5923200217168475,46.85028241895384,-0.003093665514839821,-20.214813013325596
ifr_mom15_gt1.0,long,5,147,14778187,-0.21517044779271066,-0.3541161915011924,47.11779618677406,-0.003596623975071746,-20.215170447792712
ifr_mom15_gt2.0,long,5,147,11493082,-0.2232700837279522,-0.37902125469327386,47.097606856722436,-0.0035248767531597877,-20.223270083727954
ifr_mom60_gt5.0,long,60,147,5766033,-0.24450229819999197,-4.320065431756314,47.82016809276966,-0.0005336675031961495,-20.244502298199993
ifr_level_gt5.0,long_momentum,15,147,1870614,-0.2505896108135559,-2.3440026357592267,47.659756980749684,-0.014178242423390292,-20.250589610813556
ifr_mom60_gt1.0,long,5,147,15257863,-0.256735792338055,-0.4175156734817139,46.94736444870616,-0.004238695999473964,-20.256735792338056
ifr_mom15_gt2.0,long,60,147,11493082,-0.26097036922537253,-3.7084699666254153,48.00240448839798,-0.0022975674891165913,-20.260970369225372
ifr_mom60_gt2.0,long,5,147,12063460,-0.2615756935560049,-0.45467350659748496,46.911110380446836,-0.004064802596233375,-20.261575693556004
ifr_mom60_gt5.0,long,15,147,5766033,-0.3177810589829519,-1.8267421860429927,47.37609167483124,-0.001537606664292804,-20.317781058982952
ifr_level_gt5.0,long_momentum,5,147,1870614,-0.3426411168337938,-1.1058814229064364,47.28572559328163,-0.011690025836051164,-20.342641116833793
ifr_mom15_lt1.0,short,5,147,14776625,-0.3443571751131458,0.007948408860423094,48.12919400273437,-0.004702126405464866,-20.344357175113146
ifr_mom60_lt1.0,short,5,147,15243019,-0.3772129894252544,-0.0038430341001244356,48.0222194737651,-0.005128607426786871,-20.377212989425256
ifr_mom15_gt2.0,long,15,147,11493082,-0.37755159307836866,-1.5025856366890922,47.51366529068768,-0.0033504112574830043,-20.37755159307837
ifr_mom60_gt5.0,long,30,147,5766033,-0.38572576992784946,-2.7887963688865236,47.73205433497265,-0.001325851968312795,-20.38572576992785
ifr_mom15_gt1.0,long,60,147,14778187,-0.39536121849838424,-3.656855440992675,47.988021433046185,-0.003485863905535647,-20.395361218498383
ifr_mom15_gt1.0,long,15,147,14778187,-0.39987241789845435,-1.4605541252578509,47.540297361503576,-0.003915167794491677,-20.399872417898454
ifr_mom15_lt2.0,short,5,147,11486635,-0.40603514519722766,-0.010718517920543829,48.0662999110034,-0.005497690615987532,-20.406035145197226
ifr_mom60_lt2.0,short,5,147,12049483,-0.43713448616223916,-0.02354200473792092,47.954951438794545,-0.005982597709553286,-20.43713448616224
ifr_mom15_gt2.0,long,30,147,11493082,-0.4699882175531762,-2.3054182483905894,47.90488177174927,-0.003147597714805989,-20.469988217553176
ifr_mom15_gt1.0,long,30,147,14778187,-0.5088937188891702,-2.254293722449831,47.90425157633599,-0.003848628698586758,-20.50889371888917
ifr_mom60_gt1.0,long,15,147,15257863,-0.5248653232518334,-1.5462485284276357,47.44404001299109,-0.004970400060439271,-20.524865323251834
ifr_mom60_gt2.0,long,15,147,12063460,-0.5296223370083996,-1.6299405730570689,47.41154289051479,-0.004672502728712811,-20.5296223370084
ifr_revert_z3.0_w240,short,15,147,186798,-0.6068862900073754,3.162100309011551,51.5425830350301,0.011443342624190124,-20.606886290007374
ifr_revert_z3.0_w60,short,60,147,187749,-0.6708954082973027,4.839964859972117,51.52364953031382,0.006417160374747595,-20.6708954082973
ifr_mom15_lt1.0,short,15,147,14776625,-0.677503840845223,0.40328853355846966,49.453627952581186,-0.004958021273231906,-20.677503840845223
ifr_mom15_lt5.0,short,5,147,5283436,-0.6785346473289064,-0.07736015562928182,47.91824312409787,-0.008053746491273722,-20.678534647328906
ifr_mom60_gt2.0,long,60,147,12063460,-0.6837353641795989,-4.03807882511038,47.82698943900508,-0.004361661392948062,-20.683735364179597
ifr_mom60_gt1.0,long,60,147,15257863,-0.7157258642802006,-3.9103526947873477,47.850876344624886,-0.004917259999225203,-20.715725864280202
ifr_mom60_lt5.0,short,5,147,5760574,-0.7188987265712853,-0.10408799401737472,47.792318197921375,-0.008608980179033028,-20.718898726571286
ifr_mom60_gt2.0,long,30,147,12063460,-0.730975119099852,-2.516124553190267,47.72942278042477,-0.004921619487848123,-20.730975119099853
ifr_mom60_gt1.0,long,30,147,15257863,-0.7344276644941116,-2.426683517783709,47.75358228731674,-0.005357031484296132,-20.73442766449411
