symbol,lookback,zscore_thresh,direction,horizon_m,n_signals,mean_ret_bps,median_ret_bps,win_rate,sharpe,net_of_fees_bps,avg_premium_bps
CHZUSDT,60,2.0,long,5,16527,-0.09857863562972377,0.0,47.24995461971319,-0.0014845122761041744,-20.098578635629725,-11.59177429055485
CHZUSDT,60,2.0,short,15,3856,-1.8927663058560489,0.0,46.47302904564315,-0.03889439051166179,-21.89276630585605,1.8994324429460583
CHZUSDT,60,2.0,long,15,16527,0.7429827401887986,0.0,48.042596962546135,0.009607696010644411,-19.257017259811203,-11.59177429055485
CHZUSDT,60,2.0,short,30,3856,-1.7855373859281805,0.0,48.184647302904565,-0.02661530894732674,-21.78553738592818,1.8994324429460583
CHZUSDT,60,2.0,long,30,16527,0.38296500340290096,0.0,48.526653355115876,0.0034523955938381024,-19.6170349965971,-11.59177429055485
CHZUSDT,60,2.0,short,60,3856,-4.113965577962266,0.0,48.106846473029044,-0.044390726408730354,-24.113965577962265,1.8994324429460583
CHZUSDT,60,2.0,long,60,16525,0.8129677097369722,0.0,48.62934947049924,0.006700696403596055,-19.187032290263026,-11.591405797276852
CHZUSDT,60,2.0,short,240,3852,-3.6825146603200536,-4.742146420840809,47.533748701972996,-0.021376288845153663,-23.682514660320052,1.9019015576323985
CHZUSDT,60,2.0,long,240,16519,5.605716368594704,0.0,49.64586234033537,0.027311070373309484,-14.394283631405296,-11.591208808039228
CHZUSDT,60,2.5,short,5,963,-0.8319017586746748,0.0,46.93665628245067,-0.02972249446353873,-20.831901758674675,4.852567912772584
CHZUSDT,60,2.5,long,5,7592,-0.07364052860601392,0.0,47.629083245521606,-0.0007965943854626739,-20.073640528606013,-12.74108643308746
CHZUSDT,60,2.5,short,15,963,-1.9171064396280595,0.0,47.14434060228453,-0.038618900362571255,-21.91710643962806,4.852567912772584
CHZUSDT,60,2.5,long,15,7592,1.1061318770445938,0.0,48.12961011591149,0.01096223479211022,-18.893868122955407,-12.74108643308746
CHZUSDT,60,2.5,short,30,963,-1.1932556333637525,0.0,48.90965732087228,-0.016649201496509555,-21.19325563336375,4.852567912772584
CHZUSDT,60,2.5,long,30,7592,1.8728555470181893,0.0,49.13066385669126,0.013932921075092424,-18.12714445298181,-12.74108643308746
CHZUSDT,60,2.5,short,60,963,-2.952320928456539,-2.326122354034954,49.0134994807892,-0.029183282564507397,-22.95232092845654,4.852567912772584
CHZUSDT,60,2.5,long,60,7591,2.9578097060083017,0.0,48.96588064813595,0.020529597618837655,-17.0421902939917,-12.740750335924123
CHZUSDT,60,2.5,short,240,961,2.024548556883403,-4.612546125462025,47.346514047866805,0.011000319715637058,-17.975451443116597,4.862677835587928
CHZUSDT,60,2.5,long,240,7588,8.114154440271479,0.0,49.65735371639431,0.035847094297461315,-11.885845559728521,-12.74061897733263
CHZUSDT,60,3.0,short,5,349,-0.1418143620257957,0.0,47.277936962750715,-0.005929688337260081,-20.141814362025794,7.469555587392549
CHZUSDT,60,3.0,long,5,3397,-1.8340362289048642,0.0,47.689137474241974,-0.013954231404341403,-21.834036228904864,-13.478178775390052
CHZUSDT,60,3.0,short,15,349,-2.15700184466042,0.0,46.13180515759313,-0.04834149681098481,-22.15700184466042,7.469555587392549
CHZUSDT,60,3.0,long,15,3397,-0.09593509145764349,0.0,47.45363556078893,-0.0007410143099798404,-20.095935091457644,-13.478178775390052
CHZUSDT,60,3.0,short,30,349,1.4850225904311871,0.0,48.42406876790831,0.021610108292598636,-18.514977409568814,7.469555587392549
CHZUSDT,60,3.0,long,30,3397,0.2856443656089573,0.0,49.043273476597,0.0016511459071062806,-19.714355634391044,-13.478178775390052
CHZUSDT,60,3.0,short,60,349,2.649950545143943,-2.5786487880341546,48.71060171919771,0.027469107090316663,-17.350049454856055,7.469555587392549
CHZUSDT,60,3.0,long,60,3397,1.3173127237835829,-2.546473134706906,47.4241978216073,0.007798116319050166,-18.682687276216416,-13.478178775390052
CHZUSDT,60,3.0,short,240,349,15.634044901703827,-2.474022761009831,47.56446991404012,0.0887563766390709,-4.365955098296173,7.469555587392549
CHZUSDT,60,3.0,long,240,3397,6.4877656045601695,-5.430355688297306,48.16014130114807,0.025867222420681055,-13.51223439543983,-13.478178775390052
CHZUSDT,60,3.5,short,5,152,0.008211141507526963,-2.2296561770751566,44.07894736842105,0.00038277491177780214,-19.991788858492473,8.354266447368422
CHZUSDT,60,3.5,long,5,1566,-1.6777980823139156,0.0,47.89272030651341,-0.010016448422467815,-21.677798082313917,-15.060709003831418
CHZUSDT,60,3.5,short,15,152,-3.562632176936642,0.0,49.34210526315789,-0.0966159967094449,-23.562632176936642,8.354266447368422
CHZUSDT,60,3.5,long,15,1566,2.3898325414696355,-1.959080361191301,46.99872286079182,0.015992942233634996,-17.610167458530363,-15.060709003831418
CHZUSDT,60,3.5,short,30,152,-1.9383761109769888,0.0,48.68421052631579,-0.033137277519129364,-21.93837611097699,8.354266447368422
CHZUSDT,60,3.5,long,30,1566,4.080053602251426,1.097694840834773,50.0,0.017441255246864105,-15.919946397748575,-15.060709003831418
CHZUSDT,60,3.5,short,60,152,4.326598707744999,5.252029174482864,51.973684210526315,0.04567623313556755,-15.673401292255,8.354266447368422
CHZUSDT,60,3.5,long,60,1566,8.082395761492252,-2.611648662386723,46.99872286079182,0.03585893705947176,-11.917604238507748,-15.060709003831418
CHZUSDT,60,3.5,short,240,152,29.56396630444381,-4.616805170820637,46.71052631578947,0.17097393938099972,9.56396630444381,8.354266447368422
