symbol,signal,direction,horizon_m,n_signals,mean_abs_ret,mean_ret,median_ret,win_rate,net_fees
USELESSUSDT,coiled_v0.2_oi2.0,abs_move,240,2092,344.2689322791301,3.52631715120318,-7.472179819030256,48.66156787762906,324.2689322791301
USELESSUSDT,coiled_v0.2_oi2.0_momup,long,240,931,331.0497328709695,-30.28699160427391,-50.54535780792846,43.71643394199785,-50.28699160427391
USELESSUSDT,coiled_v0.2_oi2.0_momdn,short,240,1055,360.6332807532153,-31.226994295988007,-22.16202905688247,46.91943127962085,-51.22699429598801
USELESSUSDT,coiled_v0.2_oi3.0,abs_move,15,967,84.88315471536974,-5.738565456856367,-12.500000000000844,41.67528438469493,64.88315471536974
USELESSUSDT,coiled_v0.2_oi3.0_momup,long,15,401,85.23519263014153,-12.300637240360881,-20.32520325203402,38.15461346633416,-32.300637240360885
USELESSUSDT,coiled_v0.2_oi3.0_momdn,short,15,521,86.6836301366255,0.4174124562735514,7.5093867334175,52.39923224568138,-19.582587543726447
USELESSUSDT,coiled_v0.2_oi3.0,abs_move,30,967,123.93864778445524,-11.942197652107403,-25.34395365677011,42.29576008273009,103.93864778445524
USELESSUSDT,coiled_v0.2_oi3.0_momup,long,30,401,127.68892845636749,-27.168777810899254,-40.567951318459805,37.905236907730675,-47.16877781089926
USELESSUSDT,coiled_v0.2_oi3.0_momdn,short,30,521,122.01846486923374,-1.7519632087205974,10.567101091932818,53.35892514395394,-21.751963208720596
USELESSUSDT,coiled_v0.2_oi3.0,abs_move,60,967,169.23641325700987,-16.589047345931128,-35.842293906811484,41.26163391933816,149.23641325700987
USELESSUSDT,coiled_v0.2_oi3.0_momup,long,60,401,174.6853321799406,-47.12034388893678,-66.95445335212713,35.41147132169576,-67.12034388893679
USELESSUSDT,coiled_v0.2_oi3.0_momdn,short,60,521,169.13317978682366,-6.528870507639036,18.09954751131326,53.93474088291747,-26.528870507639034
USELESSUSDT,coiled_v0.2_oi3.0,abs_move,240,967,366.5302904997442,-33.80066438100271,-44.86133768352274,46.43226473629783,346.5302904997442
USELESSUSDT,coiled_v0.2_oi3.0_momup,long,240,401,365.889762480158,-130.20742229728225,-149.25373134328402,35.910224438902745,-150.20742229728225
USELESSUSDT,coiled_v0.2_oi3.0_momdn,short,240,521,379.1525471347335,-38.61705602420776,-35.73910453688045,46.06525911708253,-58.61705602420776
USELESSUSDT,volbreak_c0.15_x2.0_up,long,15,8,53.12380275384581,-22.84348842737177,-8.433566393636903,50.0,-42.84348842737177
USELESSUSDT,volbreak_c0.15_x2.0_up,long,30,8,134.9840359079081,-73.71488929959271,-89.19227224935378,12.5,-93.71488929959271
USELESSUSDT,volbreak_c0.15_x2.0_up,long,60,8,296.1020962343805,-190.3398788747887,-238.9265750021313,12.5,-210.3398788747887
USELESSUSDT,volbreak_c0.15_x2.0_up,long,240,8,630.6506791055879,-379.00954125000794,-536.1581307973634,12.5,-399.00954125000794
USELESSUSDT,volbreak_c0.2_x2.0_up,long,15,13,64.78954426645794,12.831939120140017,2.241147467503257,53.84615384615385,-7.168060879859983
USELESSUSDT,volbreak_c0.2_x2.0_up,long,30,13,179.6545112064243,-47.381976480450604,-63.73486297004516,30.76923076923077,-67.3819764804506
USELESSUSDT,volbreak_c0.2_x2.0_up,long,60,13,371.5253573702903,-230.3976025916416,-248.40764331210073,23.076923076923077,-250.3976025916416
USELESSUSDT,volbreak_c0.2_x2.0_up,long,240,13,547.2268279971458,-336.12718018858385,-486.329000448229,23.076923076923077,-356.12718018858385
USELESSUSDT,oipricediv_p50_oi2.0_weak,short,15,4437,105.07420999220908,3.0842376245819683,9.522513943681643,53.18909172864548,-16.915762375418034
USELESSUSDT,oipricediv_p50_oi2.0_accum,long,15,6020,98.78688527547543,1.5053198298178243,-5.044144212910107,47.076411960132894,-18.494680170182175
USELESSUSDT,oipricediv_p50_oi2.0_weak,short,30,4437,150.61061798324468,5.582407054423275,15.487867836860847,53.70745999549244,-14.417592945576725
USELESSUSDT,oipricediv_p50_oi2.0_accum,long,30,6020,138.70778373005686,1.110260931355288,-5.956061365522958,47.92358803986711,-18.88973906864471
USELESSUSDT,oipricediv_p50_oi2.0_weak,short,60,4437,210.2666980033435,4.613112080832787,23.70370370370467,54.18075276087446,-15.386887919167213
USELESSUSDT,oipricediv_p50_oi2.0_accum,long,60,6020,200.28613899238172,0.8274538901192893,-10.276903550217042,47.64119601328904,-19.17254610988071
USELESSUSDT,oipricediv_p50_oi2.0_weak,short,240,4437,397.8448442232073,27.021294971006164,65.5881066899855,56.88528284877169,7.021294971006164
