symbol,gross_bps,sig_str,hold,entry_time,exit_time,strategy,net_tk,net_mk,month
ANIMEUSDT,-3503.460207612458,3.2454135903877455,6,2025-10-10 20:55:00,2025-10-10 21:25:00,long_vg,-3523.460207612458,-3511.460207612458,2025-10
ARCUSDT,-146.64410603496881,2.623418687418858,17,2025-09-22 06:30:00,2025-09-22 07:55:00,long_vg,-166.64410603496881,-154.64410603496881,2025-09
ARCUSDT,-28.660760812923016,3.4562298112341434,14,2025-09-25 00:50:00,2025-09-25 02:00:00,long_vg,-48.660760812923016,-36.660760812923016,2025-09
ARCUSDT,-867.0066692820699,4.690680351301962,6,2025-10-10 21:15:00,2025-10-10 21:45:00,long_vg,-887.0066692820699,-875.0066692820699,2025-10
ARCUSDT,180.51465881449235,2.519840530800278,5,2025-11-22 13:30:00,2025-11-22 13:55:00,long_vg,160.51465881449235,172.51465881449235,2025-11
ARCUSDT,-2599.1792065663467,3.26614698462959,3,2025-11-28 17:05:00,2025-11-28 17:20:00,long_vg,-2619.1792065663467,-2607.1792065663467,2025-11
ALCHUSDT,-516.7682383548955,3.91218253970576,7,2025-07-03 01:50:00,2025-07-03 02:25:00,long_vg,-536.7682383548955,-524.7682383548955,2025-07
ALCHUSDT,634.4746471510709,4.029197696410838,13,2025-10-09 04:25:00,2025-10-09 05:30:00,long_vg,614.4746471510709,626.4746471510709,2025-10
ALCHUSDT,1968.9206215875688,2.896912455976062,20,2025-10-10 21:15:00,2025-10-10 22:55:00,long_vg,1948.9206215875688,1960.9206215875688,2025-10
ALCHUSDT,486.0749609578341,3.004323767605208,24,2025-11-04 15:50:00,2025-11-04 17:50:00,long_vg,466.0749609578341,478.0749609578341,2025-11
ALCHUSDT,2980.513382375958,3.6243576166594984,24,2025-11-29 19:15:00,2025-11-29 21:15:00,long_vg,2960.513382375958,2972.513382375958,2025-11
ALCHUSDT,43.02536231884035,2.737957103951294,3,2025-12-02 15:25:00,2025-12-02 15:40:00,long_vg,23.02536231884035,35.02536231884035,2025-12
ALCHUSDT,187.88323463130973,3.256190928831898,12,2025-12-10 16:40:00,2025-12-10 17:40:00,long_vg,167.88323463130973,179.88323463130973,2025-12
ALCHUSDT,934.2040548663877,2.5235714438162966,21,2025-12-17 20:05:00,2025-12-17 21:50:00,long_vg,914.2040548663877,926.2040548663877,2025-12
ALCHUSDT,288.7457984044062,2.61226838873023,9,2026-01-07 01:25:00,2026-01-07 02:10:00,long_vg,268.7457984044062,280.7457984044062,2026-01
ALCHUSDT,352.48799535644525,4.375996625735279,7,2026-02-03 21:50:00,2026-02-03 22:25:00,long_vg,332.48799535644525,344.48799535644525,2026-02
ATHUSDT,-1981.2135607860082,3.1802301893550227,3,2025-10-10 21:10:00,2025-10-10 21:25:00,long_vg,-2001.2135607860082,-1989.2135607860082,2025-10
