symbol,gross_bps,sig_str,hold,entry_time,exit_time,exit_reason,net_tk,net_mk,month,sig_bucket
KAVAUSDT,-195.16185579058097,5.807580083208822,4,2025-07-11 01:05:00,2025-07-11 01:25:00,cross,-215.16185579058097,-203.16185579058097,2025-07,5-7
KAVAUSDT,165.00622665006182,4.0038022463789416,6,2025-09-22 06:05:00,2025-09-22 06:35:00,cross,145.00622665006182,157.00622665006182,2025-09,4-5
KAVAUSDT,-4877.10843373494,6.894981078933807,6,2025-10-10 21:10:00,2025-10-10 21:40:00,cross,-4897.10843373494,-4885.10843373494,2025-10,5-7
KAVAUSDT,-836.4083640836407,4.109752936575752,14,2025-11-13 18:05:00,2025-11-13 19:15:00,cross,-856.4083640836407,-844.4083640836407,2025-11,4-5
KAVAUSDT,-482.85127232495563,4.009132119766476,24,2026-03-02 08:25:00,2026-03-02 10:25:00,maxhold,-502.85127232495563,-490.85127232495563,2026-03,4-5
LYNUSDT,3545.6935922867538,6.076070014489171,24,2025-10-10 21:20:00,2025-10-10 23:20:00,maxhold,3525.6935922867538,3537.6935922867538,2025-10,5-7
LYNUSDT,158.22784810126666,4.7754377541326924,5,2026-01-19 00:10:00,2026-01-19 00:35:00,cross,138.22784810126666,150.22784810126666,2026-01,4-5
LINKUSDT,-20.89136490250665,4.547920101950698,6,2025-07-03 15:30:00,2025-07-03 16:00:00,cross,-40.89136490250665,-28.89136490250665,2025-07,4-5
LINKUSDT,4097.731389631674,7.886117264675034,4,2025-10-10 21:20:00,2025-10-10 21:40:00,cross,4077.7313896316737,4089.7313896316737,2025-10,7+
LINKUSDT,312.1262855776141,6.21868294825079,16,2025-10-10 21:55:00,2025-10-10 23:15:00,cross,292.1262855776141,304.1262855776141,2025-10,5-7
LDOUSDT,17957.848837209305,4.682881315554736,17,2025-10-10 21:15:00,2025-10-10 22:40:00,cross,17937.848837209305,17949.848837209305,2025-10,4-5
LDOUSDT,227.4743889650721,4.894551591639982,5,2025-11-21 07:30:00,2025-11-21 07:55:00,cross,207.4743889650721,219.4743889650721,2025-11,4-5
LTCUSDT,3722.643246688859,4.825083114085526,7,2025-10-10 21:15:00,2025-10-10 21:50:00,reversal,3702.643246688859,3714.643246688859,2025-10,4-5
LTCUSDT,-85.46557636507579,4.359512132666554,6,2025-10-10 22:05:00,2025-10-10 22:35:00,cross,-105.46557636507579,-93.46557636507579,2025-10,4-5
LTCUSDT,-50.8013737836277,4.832712467870112,24,2026-01-19 00:00:00,2026-01-19 02:00:00,cross,-70.8013737836277,-58.8013737836277,2026-01,4-5
LTCUSDT,69.04990822480528,4.980935872093495,4,2026-01-31 18:40:00,2026-01-31 19:00:00,cross,49.04990822480528,61.04990822480528,2026-01,4-5
MORPHOUSDT,6492.407959509121,11.130178038751419,6,2025-10-10 21:20:00,2025-10-10 21:50:00,cross,6472.407959509121,6484.407959509121,2025-10,7+
MORPHOUSDT,150.60444384412673,4.179408388525664,4,2025-11-21 07:30:00,2025-11-21 07:50:00,cross,130.60444384412673,142.60444384412673,2025-11,4-5
MYXUSDT,-6714.860813704498,4.517704014344636,3,2025-10-10 21:10:00,2025-10-10 21:25:00,cross,-6734.860813704498,-6722.860813704498,2025-10,4-5
NEARUSDT,4721.153846153845,10.413553531758275,12,2025-10-10 21:15:00,2025-10-10 22:15:00,cross,4701.153846153845,4713.153846153845,2025-10,7+
