test_day,train_start_day,train_end_day,variant,events,fast_pair_net_15m_bps,fast_gap_close_15m_bps,fast_pair_win_15m,fast_entry_decay_bps,bb_spread_bps_ob,entry_fill_lag_ms,exit_fill_lag_ms
2025-12-26,2025-11-26,2025-12-25,active_fast_exec_state_top_quantile,12.0,-8.239146008249977,2.1943650023821077,0.25,16.039268915119624,2.4335110106320856,16720.916666666668,10900.333333333334
2025-12-26,2025-11-26,2025-12-25,active_fast_exec_model_top_quantile,12.0,-8.920201282682198,1.5452479472733796,0.25,9.166966135714754,2.465449229955578,10796.333333333334,4909.416666666667
2025-12-27,2025-11-27,2025-12-26,active_fast_exec_baseline,12.0,-3.347684177469022,8.15836375409227,0.16666666666666666,18.97086869836797,3.506047931561293,34955.916666666664,7119.0
2025-12-27,2025-11-27,2025-12-26,active_fast_exec_state_top_quantile,12.0,-10.637920633641249,0.5702002490707664,0.08333333333333333,20.318412002648852,3.2081208827120147,15844.083333333334,15925.916666666666
2025-12-27,2025-11-27,2025-12-26,active_fast_exec_model_top_quantile,12.0,1.313498520120102,11.888421876173524,0.5,7.1272341901818885,2.5749233560534215,20268.75,36046.916666666664
2025-12-28,2025-11-28,2025-12-27,active_fast_exec_baseline,12.0,-20.69747687925286,-9.481393722743277,0.16666666666666666,23.206479174934515,3.5084543525559098,30690.083333333332,23934.083333333332
2025-12-28,2025-11-28,2025-12-27,active_fast_exec_state_top_quantile,12.0,-14.4983900821497,-3.1233230263350946,0.25,15.529954521166603,3.68189133361593,32160.25,25490.416666666668
2025-12-28,2025-11-28,2025-12-27,active_fast_exec_model_top_quantile,12.0,-2.723784737986982,8.171473170986987,0.3333333333333333,15.065550619421572,2.895257908973972,26378.833333333332,16016.666666666666
2025-12-29,2025-11-29,2025-12-28,active_fast_exec_baseline,12.0,-3.717058644788244,6.997574171823302,0.25,9.419245859893511,2.7146328166115476,3629.5833333333335,5697.833333333333
2025-12-29,2025-11-29,2025-12-28,active_fast_exec_state_top_quantile,12.0,2.030918210529273,12.77040737689065,0.4166666666666667,11.80773525103013,2.7394891663613774,7316.75,3829.25
2025-12-29,2025-11-29,2025-12-28,active_fast_exec_model_top_quantile,12.0,-5.520150005518489,4.381586692842054,0.25,5.295230207393864,1.9017366983605448,7298.5,4424.166666666667
2025-12-30,2025-11-30,2025-12-29,active_fast_exec_baseline,12.0,-0.5878851768403038,10.714031817365317,0.3333333333333333,13.006192560351868,3.3019169942056226,15387.75,13165.666666666666
2025-12-30,2025-11-30,2025-12-29,active_fast_exec_state_top_quantile,12.0,-2.951653251933496,8.806389600817994,0.25,12.127954465506278,3.758042852751491,14911.25,10443.833333333334
2025-12-30,2025-11-30,2025-12-29,active_fast_exec_model_top_quantile,12.0,-4.793673206757817,6.425227560749776,0.25,13.721303725486209,3.218900767507593,16707.416666666668,9315.916666666666
2025-12-31,2025-12-01,2025-12-30,active_fast_exec_baseline,12.0,-19.76726492415911,-8.73877681909228,0.08333333333333333,24.565439865620874,3.0284881050668324,6542.75,23537.25
2025-12-31,2025-12-01,2025-12-30,active_fast_exec_state_top_quantile,12.0,-20.39136331913907,-9.55518506397681,0.08333333333333333,20.601524002241227,2.836178255162262,19266.833333333332,25848.333333333332
2025-12-31,2025-12-01,2025-12-30,active_fast_exec_model_top_quantile,12.0,-17.41906431260227,-6.502535925519507,0.16666666666666666,17.07404166202492,2.9165283870827605,5704.416666666667,14568.25
2026-01-01,2025-12-02,2025-12-31,active_fast_exec_baseline,12.0,-2.3168267728148675,9.685175541112681,0.25,14.797246727922264,4.00200231392755,27661.0,20562.833333333332
2026-01-01,2025-12-02,2025-12-31,active_fast_exec_state_top_quantile,12.0,-4.052068192128307,7.06435196079186,0.3333333333333333,12.7912708860801,3.116420152920167,18116.666666666668,14061.416666666666
