symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
CRVUSDT,2026-02-03,2026-02,1770078720000,1770078780000,29.359909,17.367112,8.410958,10291.72,8.66
GALAUSDT,2026-02-03,2026-02,1770081540000,1770081600000,11.043515,35.729743,28.466855,10292.58,29.30
GALAUSDT,2026-02-03,2026-02,1770091200000,1770091260000,14.152382,33.457067,25.680945,10295.51,26.44
GALAUSDT,2026-02-03,2026-02,1770105900000,1770105960000,9.261546,23.034018,15.464258,10298.16,15.93
CRVUSDT,2026-02-03,2026-02,1770109200000,1770109260000,8.820587,-0.000000,-9.137345,10299.75,-9.41
CRVUSDT,2026-02-03,2026-02,1770109260000,1770109320000,11.308652,34.867503,26.078103,10298.81,26.86
GALAUSDT,2026-02-04,2026-02,1770163680000,1770163740000,8.614142,2.122689,-5.152279,10301.49,-5.31
CRVUSDT,2026-02-04,2026-02,1770166320000,1770166380000,19.098812,25.106307,15.342675,10300.96,15.80
CRVUSDT,2026-02-04,2026-02,1770166440000,1770166500000,15.856712,-7.163291,-15.498123,10302.54,-15.97
CRVUSDT,2026-02-04,2026-02,1770169260000,1770169320000,9.152198,35.348180,25.814237,10300.95,26.59
GALAUSDT,2026-02-04,2026-02,1770206460000,1770206520000,14.444857,21.061500,13.376580,10303.61,13.78
GALAUSDT,2026-02-04,2026-02,1770210600000,1770210660000,19.932824,16.876745,8.346034,10304.98,8.60
CRVUSDT,2026-02-05,2026-02,1770250440000,1770250500000,12.558020,29.218408,20.296567,10305.84,20.92
CRVUSDT,2026-02-05,2026-02,1770251700000,1770251760000,9.167776,10.928956,2.924782,10307.94,3.01
GALAUSDT,2026-02-05,2026-02,1770254100000,1770254160000,8.174431,8.578110,1.288069,10308.24,1.33
CRVUSDT,2026-02-05,2026-02,1770255900000,1770255960000,11.554656,10.952876,2.395464,10308.37,2.47
GALAUSDT,2026-02-05,2026-02,1770259200000,1770259260000,17.257405,12.912478,5.086020,10308.62,5.24
GALAUSDT,2026-02-05,2026-02,1770266760000,1770266820000,9.423327,19.654946,11.143004,10309.14,11.49
CRVUSDT,2026-02-06,2026-02,1770336720000,1770336780000,44.966325,35.653127,25.633475,10310.29,26.43
CRVUSDT,2026-02-06,2026-02,1770337320000,1770337380000,93.053240,4.710271,-4.596295,10312.93,-4.74
CRVUSDT,2026-02-06,2026-02,1770337380000,1770337440000,95.900910,-9.238597,-18.309649,10312.46,-18.88
SEIUSDT,2026-02-06,2026-02,1770337860000,1770337920000,39.915107,12.829219,5.119643,10310.57,5.28
