symbol,day,month,entry_ts_ms,exit_ts_ms,gross_pnl_bps,entry_spread_bps,entry_spread_abs_bps,entry_spread_velocity_bps,ls_diff_signed,oi_diff_signed_bps,carry_diff_signed_bps,score,net_pnl_bps_25pct_model,is_winner_25pct_model,bybit_book_lag_ms,bybit_best_bid,bybit_best_ask,bybit_book_spread_bps,bybit_top5_bid_notional,bybit_top5_ask_notional,bybit_top5_imbalance,bybit_trade_count_5s,bybit_buy_notional_5s,bybit_sell_notional_5s,bybit_trade_imbalance_5s,binance_depth_lag_ms,binance_bid_notional_1pct,binance_ask_notional_1pct,binance_depth_imbalance_1pct,binance_trade_count_5s,binance_buy_notional_5s,binance_sell_notional_5s,binance_trade_imbalance_5s
GALAUSDT,2026-02-28,2026-02,1772300940000,1772301000000,-2.902744,-20.366599,20.366599,2.904433,0.859627,71.437068,5.353003,17.823542,-13.334626,0,0,0.003435,0.003436,2.910784,30176.940273,34365.018461,-0.064889,0.000000,0,0,nan,0,255309.808070,220933.815830,0.072182,0.000000,0,0,nan
GALAUSDT,2026-02-28,2026-02,1772301660000,1772301720000,23.191764,-28.985507,28.985507,11.624396,0.851824,72.978582,27.437358,29.166220,11.461993,1,0,0.003454,0.003455,2.894775,30080.330201,25356.064498,0.085220,19.000000,3893.257079,310.231360,0.852393,17000,433437.742760,200896.671390,0.366591,1.000000,0,5.140500,-1.000000
GALAUSDT,2026-02-28,2026-02,1772302140000,1772302200000,11.589066,-26.019081,26.019081,5.770310,0.841322,60.101439,12.700181,19.211700,0.448642,1,0,0.003457,0.003458,2.892263,32016.313628,36651.783533,-0.067505,0.000000,0,0,nan,27000,388542.067120,222329.746870,0.272090,0.000000,0,0,nan
GALAUSDT,2026-02-28,2026-02,1772302380000,1772302440000,28.943560,-14.471780,14.471780,0.041766,0.840617,26.608762,4.805368,8.565053,19.244294,1,0,0.003464,0.003465,2.886419,29805.941151,30952.485681,-0.018871,1.000000,49.400505,0,1.000000,30000,277900.757630,242999.062250,0.067003,4.000000,0,90.977240,-1.000000
GALAUSDT,2026-02-28,2026-02,1772304000000,1772304060000,5.694705,-34.266134,34.266134,8.544499,0.852093,80.740656,35.570541,34.785495,-6.409133,0,0,0.003499,0.003500,2.857551,33710.225810,27188.194185,0.107097,9.000000,33.083045,426.230685,-0.855946,27000,341657.447990,210771.194310,0.236929,2.000000,36.319500,15.718960,0.395871
GALAUSDT,2026-02-28,2026-02,1772304060000,1772304120000,14.265277,-28.571429,28.571429,5.694705,0.852093,80.740656,15.316338,24.658393,2.873399,1,0,0.003501,0.003502,2.855919,39059.169223,25316.266520,0.213481,1.000000,0,7.116064,-1.000000,27000,349713.323390,173309.273300,0.337278,1.000000,0,10.403690,-1.000000
GALAUSDT,2026-02-28,2026-02,1772307780000,1772307840000,25.281688,-28.089888,28.089888,8.410382,0.887855,27.493376,23.216770,17.994915,13.802180,1,0,0.003557,0.003558,2.810963,22396.045401,32641.767749,-0.186158,2.000000,0,11.126296,-1.000000,30000,502950.882700,297199.409580,0.257141,3.000000,74.347040,40.615550,0.293413
GALAUSDT,2026-02-28,2026-02,1772315340000,1772315400000,14.064698,-14.064698,14.064698,2.809774,0.901144,123.048244,2.110782,26.566184,4.267740,1,0,0.003554,0.003555,2.813335,28707.052418,30478.327462,-0.029928,2.000000,0,17.503450,-1.000000,0,482638.325480,410324.888370,0.080981,1.000000,0,6.127300,-1.000000
GALAUSDT,2026-02-28,2026-02,1772315700000,1772315760000,8.483217,-22.547914,22.547914,5.621100,0.913664,26.402153,11.017467,11.702829,-2.302629,0,0,0.003549,0.003550,2.817298,27701.027159,31145.629468,-0.058535,13.000000,4969.807804,0,1.000000,0,447786.115200,323856.160070,0.160605,0.000000,0,0,nan
GALAUSDT,2026-02-28,2026-02,1772316060000,1772316120000,22.489283,-19.679505,19.679505,2.853930,0.913260,15.857165,10.924841,9.547114,12.128636,1,0,0.003566,0.003567,2.803869,25331.597066,26991.859012,-0.031731,6.000000,40.741550,0,1.000000,0,365849.963110,389000.189960,-0.030669,1.000000,0,498.229120,-1.000000
