ts,density,avg_clustering,n_components,eigvec_dispersion
2025-11-11 02:55:00+00:00,0.8253968253968254,0.9314310557954828,1,72110705273.4185
2025-11-11 03:55:00+00:00,0.8447420634920635,0.9306561040510154,1,72950939331.6368
2025-11-11 04:55:00+00:00,0.8586309523809523,0.9362292640575477,1,73547473567.59561
2025-11-11 05:55:00+00:00,0.8616071428571429,0.9488079500195636,1,73675155774.62257
2025-11-11 06:55:00+00:00,0.8556547619047619,0.9411912887054806,1,73420794264.4858
2025-11-11 07:55:00+00:00,0.8675595238095238,0.9336131030702239,1,73929208789.82787
2025-11-11 08:55:00+00:00,0.841765873015873,0.9283777855692434,1,72822558318.14754
2025-11-11 09:55:00+00:00,0.7822420634920635,0.8924355672907245,1,70199981909.40488
2025-11-11 10:55:00+00:00,0.7986111111111112,0.8902285400477623,1,70931068547.63919
2025-11-11 11:55:00+00:00,0.7549603174603174,0.8630563702958938,1,68964958588.78923
2025-11-11 12:55:00+00:00,0.7916666666666666,0.8659209505690658,1,70622156052.78394
2025-11-11 13:55:00+00:00,0.7395833333333334,0.8311574093345717,1,68259084227.73164
2025-11-11 14:55:00+00:00,0.6721230158730159,0.796733737098438,1,65071786447.3196
2025-11-11 15:55:00+00:00,0.660218253968254,0.7705852129493592,1,64493145095.79754
