symbol,state,horizon,threshold,n_state,p_up,p_down,p_big,skew_ratio,p_up_base,p_down_base,uplift_up,uplift_down
1000RATSUSDT,S07_compress_oi,12h,200bp,35,0.02857142857142857,0.8571428571428571,0.8857142857142857,0.03333333333333333,0.23781446540880502,0.38011006289308175,0.12014167650531288,2.2549859654306394
1000RATSUSDT,S07_compress_oi,12h,300bp,35,0.02857142857142857,0.8,0.8285714285714286,0.03571428571428571,0.177541928721174,0.28432914046121593,0.1609277807063785,2.813640552995392
1000RATSUSDT,S07_compress_oi,24h,100bp,35,0.08571428571428572,0.45714285714285713,0.5428571428571428,0.1875,0.3020833333333333,0.5591613247863247,0.28374384236453204,0.8175509229246989
1000RATSUSDT,S07_compress_oi,24h,200bp,35,0.08571428571428572,0.37142857142857144,0.45714285714285713,0.23076923076923075,0.24452457264957264,0.4967948717948718,0.3505344464383241,0.7476497695852534
1000RATSUSDT,S07_compress_oi,24h,300bp,35,0.08571428571428572,0.37142857142857144,0.45714285714285713,0.23076923076923075,0.1893696581196581,0.42761752136752135,0.4526294579891195,0.8685999821540109
1000RATSUSDT,S01_fund_high,12h,100bp,336,0.0,0.9494047619047619,0.9494047619047619,0.0,0.3122379454926625,0.5115303983228512,0.0,1.8560084894613582
1000RATSUSDT,S01_fund_high,12h,200bp,336,0.0,0.7113095238095238,0.7113095238095238,0.0,0.23781446540880502,0.38011006289308175,0.0,1.8713251588122324
1000RATSUSDT,S01_fund_high,12h,300bp,336,0.0,0.5029761904761905,0.5029761904761905,0.0,0.177541928721174,0.28432914046121593,0.0,1.76899275839368
1000RATSUSDT,S01_fund_high,24h,100bp,336,0.0,1.0,1.0,0.0,0.3020833333333333,0.5591613247863247,0.0,1.788392643897779
1000RATSUSDT,S01_fund_high,24h,200bp,336,0.0,1.0,1.0,0.0,0.24452457264957264,0.4967948717948718,0.0,2.0129032258064514
1000RATSUSDT,S01_fund_high,24h,300bp,336,0.0,0.9910714285714286,0.9910714285714286,0.0,0.1893696581196581,0.42761752136752135,0.0,2.3176586062282505
1000RATSUSDT,S03_oi_surge,12h,100bp,268,0.22761194029850745,0.6604477611940298,0.8880597014925373,0.3446327683615819,0.3122379454926625,0.5115303983228512,0.72896950413689,1.2911212380719352
1000RATSUSDT,S03_oi_surge,12h,200bp,268,0.1865671641791045,0.5149253731343284,0.7014925373134329,0.36231884057971014,0.23781446540880502,0.38011006289308175,0.7845072159861849,1.3546744046057202
